iata,name,lat,lon,country,
GWT,Sylt Airport,54.91325,8.340472,Germany,
SYR,Syracuse Hancock International Airport,43.111179,-76.1063,United States,
JSY,Syros Island National Airport,37.423611,24.950001,Greece,
SZZ,Szczecin Goleniow Airport,53.584728,14.9022,Poland,
QEU,Szeged Airport,46.250832,20.089167,Hungary,
TCP,Taba International Airport,29.58777,34.778049,Egypt,
TBJ,Tabarka Ain Draham Airport,36.98,8.876944,Tunisia,
TCX,Tabas Airport,33.667801,56.8927,Iran,
TBT,Tabatinga International Airport,-4.25566,-69.935799,Brazil,
TBF,Tabiteuea North Airport,-1.224996,174.776611,Kiribati,
TBH,Tablas Tugdan Airport,12.31612,122.080559,Philippines,
TBO,Tabora Airport,-5.07638,32.833328,Tanzania,
TBZ,Tabriz International Airport,38.133881,46.235001,Iran,
TBG,Tabubil Airport,-5.27861,141.225998,Papua New Guinea,
TUU,Tabuk Regional Airport,28.36541,36.618881,Saudi Arabia,
TCG,Tacheng Airport,46.666668,83.333336,China,
THL,Tachilek Airport,20.483829,99.935349,Myanmar (Burma),
TAC,Tacloban Daniel Z. Romualdez Airport,11.22762,125.027702,Philippines,
TCQ,Tacna International Airport,-18.053301,-70.275803,Peru,
TIW,Tacoma Narrows Airport,47.267632,-122.576477,United States,
XTL,Tadoule Lake Airport,58.707954,-98.513443,Canada,
TGK,Taganrog Yuzhny Airport,47.198318,38.849041,Russia,
NAH,Tahuna Naha Airport,3.68321,125.528,Indonesia,
RMQ,Taichung Airport,24.26466,120.620499,Taiwan,
TIF,Taif Airport,21.48341,40.544331,Saudi Arabia,
TNN,Tainan Airport,22.950359,120.205704,Taiwan,
TSA,Taipei Songshan Airport,25.069719,121.552498,Taiwan,
TPE,Taipei Taoyuan International Airport,25.07773,121.232803,Taiwan,
TTT,Taitung Airport,22.75498,121.101601,Taiwan,
TYN,Taiyuan Wusu International Airport,37.746891,112.628403,China,
TJH,Tajima Airport,35.512798,134.787003,Japan,
KTF,Takaka Airport,-40.813301,172.774994,New Zealand,
TAK,Takamatsu Airport,34.214161,134.015503,Japan,
TKX,Takaroa Airport,-14.4558,-145.026001,French Polynesia,
TKD,Takoradi Airport,4.896056,-1.77475,Ghana,
TLK,Talakan Airport,59.876389,111.044441,Russia,
TYL,Talara International Airport,-4.57663,-81.254097,Peru,
TDK,Taldykorgan Airport,45.109287,78.441322,Kazakhstan,
TKA,Talkeetna Airport,62.321156,-150.093002,United States,
ASN,Talladega Municipal Airport,33.57135,-86.052193,United States,
TLH,Tallahassee International Airport,30.396521,-84.350304,United States,
TLL,Tallinn Lennart Meri Airport ,59.413311,24.83284,Estonia,
YYH,Taloyoak Airport,69.546661,-93.576599,Canada,
TML,Tamale Airport,9.557192,-0.86321,Ghana,
TMR,Tamanrasset Aguenar Airport,22.81146,5.451075,Algeria,
TNO,Tamarindo Airport,10.314661,-85.815399,Costa Rica,
TMC,Tambolaka Airport,-9.40971,119.2444,Indonesia,
TMU,Tambor Airport,9.740862,-85.018578,Costa Rica,
TBW,Tambov Donskoye Airport,52.806099,41.4828,Russia,
IKU,Tamchy Issyk-Kul International Airport,42.588055,76.713058,Kyrgyzstan,
TME,Tame Gabriel Vargas Santos Airport,6.451036,-71.759903,Colombia,
CLW,Tampa Clearwater Air Park Airport,27.9767,-82.758698,United States,
VDF,Tampa Executive Airport,28.010859,-82.342102,United States,
TPA,Tampa International Airport,27.97547,-82.533203,United States,
TPF,Tampa Peter O'Knight Airport,27.915571,-82.446686,United States,
